iter	Logloss
0	0.6529755249
1	0.6163525391
2	0.5855422974
3	0.5600976562
4	0.537404541
5	0.5174088135
6	0.5013009338
7	0.4840317383
8	0.4713130493
9	0.4580289917
10	0.4449943237
11	0.4358953247
12	0.4250113525
13	0.416764801
14	0.4097504272
15	0.4019169922
16	0.3952358398
17	0.3906161804
18	0.3870993652
19	0.383361084
20	0.3794090881
21	0.376164093
22	0.3730892334
23	0.3703070679
24	0.3673040161
25	0.3641151733
26	0.3619594727
27	0.3590530396
28	0.3567623291
29	0.3550093689
30	0.3533534546
31	0.3515688171
32	0.3503544312
33	0.3486327515
34	0.3467275696
35	0.3448946533
36	0.343583313
37	0.3423008423
38	0.3411487122
39	0.3403886414
40	0.3391195068
41	0.3380267944
42	0.3371843262
43	0.3364380798
44	0.3357009583
45	0.3348023376
46	0.3342376099
47	0.3335426636
48	0.3328105469
49	0.3322566833
50	0.3318078613
51	0.331182251
52	0.3307266235
53	0.3300097656
54	0.3295072021
55	0.3288139038
56	0.3284067993
57	0.3280539856
58	0.3276065674
59	0.3269240112
60	0.3266226807
61	0.3259288635
62	0.3255189819
63	0.3251219482
64	0.3247368774
65	0.3243212891
66	0.3239915771
67	0.323302124
68	0.3227528992
69	0.3224913025
70	0.32191922
71	0.3213996887
72	0.3208190308
73	0.3205652466
74	0.320026947
75	0.3195871582
76	0.3190937805
77	0.3188173828
78	0.3183948975
79	0.3180353394
80	0.3177460327
81	0.3172549744
82	0.3168917542
83	0.3166495361
84	0.316309967
85	0.3159501953
86	0.3155438232
87	0.3150712891
88	0.3147495728
89	0.3143758545
90	0.3141244812
91	0.3138594971
92	0.3137327881
93	0.3132228088
94	0.312943573
95	0.3127529907
96	0.3123896179
97	0.311999939
98	0.3116450806
99	0.3113977356
100	0.3110526733
101	0.3105931702
102	0.3100656738
103	0.3096949768
104	0.309401123
105	0.3089579468
106	0.3086821289
107	0.308383606
108	0.3081524048
109	0.3078652954
110	0.3075133667
111	0.3072674561
112	0.3070409241
113	0.3069750977
114	0.3067659607
115	0.3066104736
116	0.3062759094
117	0.3061066284
118	0.3059788208
119	0.305572937
120	0.3053565369
121	0.3049434204
122	0.3046663208
123	0.3044520874
124	0.3042070312
125	0.3039082642
126	0.3035650635
127	0.3032798157
128	0.303141571
129	0.302944458
130	0.3026774292
131	0.3024365845
132	0.302156311
133	0.3018996277
134	0.3017002869
135	0.3015604248
136	0.3013823853
137	0.300981781
138	0.3008330078
139	0.3006109924
140	0.3004769287
141	0.3003121643
142	0.3000720825
143	0.2999608459
144	0.2998500977
145	0.2994179077
146	0.2992792969
147	0.2990377197
148	0.2987373047
149	0.2984857483
150	0.2983398743
151	0.2980848999
152	0.2978271484
153	0.2975826111
154	0.2973706665
155	0.2971024475
156	0.2969275513
157	0.2966610718
158	0.2964161377
159	0.2962328491
160	0.2959922791
161	0.2957236633
162	0.2954292297
163	0.2951265564
164	0.2949042969
165	0.2946351929
166	0.2943807373
167	0.2939290161
168	0.2936915894
169	0.2934405212
170	0.2932565308
171	0.2930898743
172	0.2928297119
173	0.2925867004
174	0.2924009399
175	0.2922229614
176	0.2919942017
177	0.2917186279
178	0.2914620972
179	0.291178894
180	0.2910188904
181	0.2907987061
182	0.2904714966
183	0.2902808838
184	0.2900733032
185	0.2897778015
186	0.2895985718
187	0.2893850403
188	0.2890325317
189	0.2888806152
190	0.288659729
191	0.2884527893
192	0.2883230286
193	0.2881304016
194	0.2878878784
195	0.2876566162
196	0.2874125366
197	0.2871778564
198	0.2869761963
199	0.2868630981
200	0.2867241821
201	0.2864638672
202	0.2862027283
203	0.2859017944
204	0.2857341003
205	0.2855092163
206	0.2852440186
207	0.2850314636
208	0.2847643433
209	0.2845735168
210	0.2844011841
211	0.2841808777
212	0.2839216919
213	0.2837098694
214	0.2834530945
215	0.2832044067
216	0.2830076294
217	0.2826791382
218	0.2823831482
219	0.2821701355
220	0.2819981384
221	0.2817570496
222	0.2815637817
223	0.2813369446
224	0.2811123047
225	0.2808899536
226	0.280736145
227	0.2804764709
228	0.2802725525
229	0.2800383606
230	0.2798355408
231	0.2796116943
232	0.2794473267
233	0.2792168274
234	0.2790267944
235	0.2787652588
236	0.2785177612
237	0.2782471313
238	0.2780627441
239	0.2777850952
240	0.2775722656
241	0.2773764038
242	0.2771074829
243	0.2768421631
244	0.2766975098
245	0.2764118042
246	0.2761643677
247	0.2759620361
248	0.2756906738
249	0.275489624
250	0.2752778625
251	0.2750266418
252	0.2748182373
253	0.2746858215
254	0.2744778748
255	0.2743079834
256	0.2741418152
257	0.2739634399
258	0.2738103638
259	0.273665741
260	0.2734121399
261	0.2731561584
262	0.2728897095
263	0.2727094727
264	0.2724934082
265	0.2723451233
266	0.2720307312
267	0.2717570801
268	0.2715524292
269	0.2713562927
270	0.2710667114
271	0.2708453674
272	0.2706555786
273	0.270557373
274	0.270364502
275	0.2702655029
276	0.2700084229
277	0.2698059082
278	0.2696864014
279	0.2695106506
280	0.2692774963
281	0.2691025391
282	0.2688666687
283	0.2687159119
284	0.2684704895
285	0.2683250122
286	0.2681801453
287	0.2679563599
288	0.2677947998
289	0.2675834961
290	0.2673225098
291	0.2671118164
292	0.2668614502
293	0.2667441406
294	0.2665500488
295	0.2662566833
296	0.2659958496
297	0.2658296509
298	0.2656216431
299	0.2654041138
